key,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,2022-09-01,2022-09-02,2022-09-03,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22
8634669,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8635110,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8638100,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8644143,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8644884,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8648927,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8694910,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8696873,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8697104,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8697138,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8697146,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8702991,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8703002,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8706987,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8706995,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8707006,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8707014,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8707022,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8707030,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8707064,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8716762,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8717970,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8725305,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8730512,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8734841,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8737239,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
